y_true,y_pred,gross_return,net_return,gross_cum,net_cum
0,2,-0.0005682291812263429,-0.001568229181226343,-0.0005682291812263429,-0.001568229181226343
1,2,0.00013185646093916148,0.00013185646093916148,-0.00043637272028718144,-0.0014363727202871815
2,2,0.0010977890342473984,0.0010977890342473984,0.0006614163139602169,-0.0003385836860397831
0,0,0.0007556360214948654,-0.0012443639785051346,0.0014170523354550824,-0.0015829476645449177
0,2,-0.0003243759856559336,-0.0023243759856559337,0.0010926763497991487,-0.003907323650200851
0,2,-0.0014385567046701908,-0.0014385567046701908,-0.00034588035487104207,-0.005345880354871042
2,2,0.0013057765318080783,0.0013057765318080783,0.0009598961769370362,-0.004040103823062964
2,2,0.0007875337614677846,0.0007875337614677846,0.0017474299384048209,-0.0032525700615951792
2,2,0.0014514423673972487,0.0014514423673972487,0.0031988723058020696,-0.0018011276941979305
2,0,-0.004969292785972357,-0.006969292785972357,-0.0017704204801702872,-0.008770420480170286
2,0,-0.0014797981129959226,-0.0014797981129959226,-0.0032502185931662098,-0.010250218593166209
1,2,-0.0002502762945368886,-0.0022502762945368886,-0.0035004948877030984,-0.012500494887703098
0,0,0.0004506736295297742,-0.0015493263704702259,-0.003049821258173324,-0.014049821258173324
2,0,-0.0005721471970900893,-0.0005721471970900893,-0.0036219684552634135,-0.014621968455263413
0,0,0.00418827822431922,0.00418827822431922,0.0005663097690558061,-0.010433690230944193
2,0,-0.0006863517337478697,-0.0006863517337478697,-0.00012004196469206363,-0.011120041964692063
2,2,0.0011695001740008593,-0.0008304998259991408,0.0010494582093087956,-0.011950541790691204
2,0,-0.004982529673725367,-0.006982529673725367,-0.003933071464416571,-0.01893307146441657
1,0,-0.00018751404422800988,-0.00018751404422800988,-0.004120585508644581,-0.01912058550864458
1,2,-0.00022789642389398068,-0.0022278964238939807,-0.0043484819325385615,-0.021348481932538563
0,2,-0.0034928752575069666,-0.0034928752575069666,-0.007841357190045528,-0.02484135719004553
2,2,0.0018000190611928701,0.0018000190611928701,-0.006041338128852658,-0.02304133812885266
2,0,-0.003163151443004608,-0.005163151443004608,-0.009204489571857266,-0.02820448957185727
1,0,-0.00022811011876910925,-0.00022811011876910925,-0.009432599690626375,-0.02843259969062638
0,2,-0.002386438427492976,-0.004386438427492976,-0.011819038118119352,-0.032819038118119356
1,2,-0.00044672825606539845,-0.00044672825606539845,-0.01226576637418475,-0.033265766374184755
0,2,-0.002804534276947379,-0.002804534276947379,-0.01507030065113213,-0.036070300651132134
2,2,0.0026311601977795362,0.0026311601977795362,-0.012439140453352593,-0.0334391404533526
1,2,-0.0004528763238340616,-0.0004528763238340616,-0.012892016777186655,-0.03389201677718666
0,2,-0.0014930639881640673,-0.0014930639881640673,-0.014385080765350722,-0.03538508076535073
0,0,0.001700310967862606,-0.000299689032137394,-0.012684769797488116,-0.03568476979748812
1,2,-0.00020367577963043004,-0.00220367577963043,-0.012888445577118546,-0.037888445577118554
0,2,-0.0027205098886042833,-0.0027205098886042833,-0.015608955465722829,-0.04060895546572284
2,2,0.001751999370753765,0.001751999370753765,-0.013856956094969064,-0.03885695609496907
0,2,-0.002894447650760412,-0.002894447650760412,-0.016751403745729476,-0.041751403745729485
1,0,-0.0006415238603949547,-0.0026415238603949547,-0.01739292760612443,-0.04439292760612444
0,2,-0.0029193225782364607,-0.004919322578236461,-0.02031225018436089,-0.0493122501843609
1,2,-0.00031270831823349,-0.00031270831823349,-0.02062495850259438,-0.04962495850259439
2,2,0.0007536312914453447,0.0007536312914453447,-0.019871327211149037,-0.04887132721114905
