timestamp,symbol,open,high,low,close,volume
2024-01-01T00:00:00.000000,BTCUSDT,40000.0,40068.09809033976,39983.76206455925,40000.0,371.1446596271114
2024-01-01T01:00:00.000000,BTCUSDT,40017.828111690374,40051.964609809926,39881.25283555554,39936.96116640173,4852.8880524539545
2024-01-01T02:00:00.000000,BTCUSDT,39935.80237222029,39979.505236232384,39906.842691660786,39963.75306788703,2621.66995405335
2024-01-01T03:00:00.000000,BTCUSDT,39951.76755559472,40037.76110444739,39922.46810090507,40027.34551313217,4058.0310285413148
2024-01-01T04:00:00.000000,BTCUSDT,40022.32604827918,40060.11874728492,39892.848556251134,39930.17584653137,6834.134734897564
2024-01-01T05:00:00.000000,BTCUSDT,39950.88043246473,39986.86128175227,39785.21321535685,39818.56152014936,8513.187866591777
2024-01-01T06:00:00.000000,BTCUSDT,39833.122654672596,39865.10134815458,39787.377688632594,39793.87558931029,2796.291568189569
2024-01-01T07:00:00.000000,BTCUSDT,39791.33038562256,39853.46252815508,39720.875766748206,39765.69958857108,1505.6358379351643
2024-01-01T08:00:00.000000,BTCUSDT,39743.05733456565,39778.806928614074,39701.627662909545,39756.18610694494,791.109909080448
2024-01-01T09:00:00.000000,BTCUSDT,39734.951151145186,39796.764627881224,39691.995051388,39701.49342377396,3136.6856817056178
2024-01-01T10:00:00.000000,BTCUSDT,39716.444449211675,39818.38044597905,39638.89345320419,39738.18565429945,2667.142469205553
2024-01-01T11:00:00.000000,BTCUSDT,39712.80617940612,39838.14041987065,39611.28265439442,39795.10068577099,3164.622952778515
2024-01-01T12:00:00.000000,BTCUSDT,39792.74977033639,39910.03541857362,39700.99189353041,39816.091655743556,1535.8897577995133
2024-01-01T13:00:00.000000,BTCUSDT,39869.50235400845,39964.41727785851,39798.18278156578,39886.86290801928,6143.146334538018
2024-01-01T14:00:00.000000,BTCUSDT,39896.02918117298,39984.487666450994,39872.09852298451,39935.578144568426,1862.0361131713535
2024-01-01T15:00:00.000000,BTCUSDT,39950.401970686005,39964.95004461331,39880.68851928965,39900.204397131405,1857.0942195536147
2024-01-01T16:00:00.000000,BTCUSDT,39879.042248964135,39996.63792150865,39862.4876452881,39910.57165265484,836.4121964166899
2024-01-01T17:00:00.000000,BTCUSDT,39886.088010282816,39906.49928157004,39834.74469972574,39861.051809667384,5554.232935671961
2024-01-01T18:00:00.000000,BTCUSDT,39876.91611747432,39911.38336980069,39838.59471672411,39894.35321982336,2505.8637665199617
2024-01-01T19:00:00.000000,BTCUSDT,39888.721492376426,39956.279627565375,39862.23719176133,39901.66243812685,1009.1456521432591
2024-01-01T20:00:00.000000,BTCUSDT,39925.08403357038,39954.890399821285,39883.58845560274,39894.22977049773,664.8254414693331
2024-01-01T21:00:00.000000,BTCUSDT,39897.08496779972,39939.15320370692,39843.32093919293,39857.63923206357,2151.508689793749
2024-01-01T22:00:00.000000,BTCUSDT,39928.57639538638,39933.530775298226,39877.69584765581,39907.88422826901,1218.6641290540108
2024-01-01T23:00:00.000000,BTCUSDT,39898.460698788615,39926.71746437127,39869.17590783904,39915.1320782824,937.587269028189
2024-01-02T00:00:00.000000,BTCUSDT,39922.89895203347,39999.9712062876,39805.14611435958,39896.20951536851,1215.969916740062
